x1;x2;y
0.2;3.5;Iris-setosa
0.2;3;Iris-setosa
0.2;3.2;Iris-setosa
0.2;3.1;Iris-setosa
0.2;3.6;Iris-setosa
0.4;3.9;Iris-setosa
0.3;3.4;Iris-setosa
0.2;3.4;Iris-setosa
0.2;2.9;Iris-setosa
0.1;3.1;Iris-setosa
0.2;3.7;Iris-setosa
0.2;3.4;Iris-setosa
0.1;3;Iris-setosa
0.1;3;Iris-setosa
0.2;4;Iris-setosa
0.4;4.4;Iris-setosa
0.4;3.9;Iris-setosa
0.3;3.5;Iris-setosa
0.3;3.8;Iris-setosa
0.3;3.8;Iris-setosa
0.2;3.4;Iris-setosa
0.4;3.7;Iris-setosa
0.2;3.6;Iris-setosa
0.5;3.3;Iris-setosa
0.2;3.4;Iris-setosa
0.2;3;Iris-setosa
0.4;3.4;Iris-setosa
0.2;3.5;Iris-setosa
0.2;3.4;Iris-setosa
0.2;3.2;Iris-setosa
0.2;3.1;Iris-setosa
0.4;3.4;Iris-setosa
0.1;4.1;Iris-setosa
0.2;4.2;Iris-setosa
0.1;3.1;Iris-setosa
0.2;3.2;Iris-setosa
0.2;3.5;Iris-setosa
0.1;3.1;Iris-setosa
0.2;3;Iris-setosa
0.2;3.4;Iris-setosa
0.3;3.5;Iris-setosa
0.3;2.3;Iris-setosa
0.2;3.2;Iris-setosa
0.6;3.5;Iris-setosa
0.4;3.8;Iris-setosa
0.3;3;Iris-setosa
0.2;3.8;Iris-setosa
0.2;3.2;Iris-setosa
0.2;3.7;Iris-setosa
0.2;3.3;Iris-setosa
1.4;3.2;Iris-versicolor
1.5;3.2;Iris-versicolor
1.5;3.1;Iris-versicolor
1.3;2.3;Iris-versicolor
1.5;2.8;Iris-versicolor
1.3;2.8;Iris-versicolor
1.6;3.3;Iris-versicolor
1;2.4;Iris-versicolor
1.3;2.9;Iris-versicolor
1.4;2.7;Iris-versicolor
1;2;Iris-versicolor
1.5;3;Iris-versicolor
1;2.2;Iris-versicolor
1.4;2.9;Iris-versicolor
1.3;2.9;Iris-versicolor
1.4;3.1;Iris-versicolor
1.5;3;Iris-versicolor
1;2.7;Iris-versicolor
1.5;2.2;Iris-versicolor
1.1;2.5;Iris-versicolor
1.8;3.2;Iris-versicolor
1.3;2.8;Iris-versicolor
1.5;2.5;Iris-versicolor
1.2;2.8;Iris-versicolor
1.3;2.9;Iris-versicolor
1.4;3;Iris-versicolor
1.4;2.8;Iris-versicolor
1.7;3;Iris-versicolor
1.5;2.9;Iris-versicolor
1;2.6;Iris-versicolor
1.1;2.4;Iris-versicolor
1;2.4;Iris-versicolor
1.2;2.7;Iris-versicolor
1.6;2.7;Iris-versicolor
1.5;3;Iris-versicolor
1.6;3.4;Iris-versicolor
1.5;3.1;Iris-versicolor
1.3;2.3;Iris-versicolor
1.3;3;Iris-versicolor
1.3;2.5;Iris-versicolor
1.2;2.6;Iris-versicolor
1.4;3;Iris-versicolor
1.2;2.6;Iris-versicolor
1;2.3;Iris-versicolor
1.3;2.7;Iris-versicolor
1.2;3;Iris-versicolor
1.3;2.9;Iris-versicolor
1.3;2.9;Iris-versicolor
1.1;2.5;Iris-versicolor
1.3;2.8;Iris-versicolor
2.5;3.3;Iris-virginica
1.9;2.7;Iris-virginica
2.1;3;Iris-virginica
1.8;2.9;Iris-virginica
2.2;3;Iris-virginica
2.1;3;Iris-virginica
1.7;2.5;Iris-virginica
1.8;2.9;Iris-virginica
1.8;2.5;Iris-virginica
2.5;3.6;Iris-virginica
2;3.2;Iris-virginica
1.9;2.7;Iris-virginica
2.1;3;Iris-virginica
2;2.5;Iris-virginica
2.4;2.8;Iris-virginica
2.3;3.2;Iris-virginica
1.8;3;Iris-virginica
2.2;3.8;Iris-virginica
2.3;2.6;Iris-virginica
1.5;2.2;Iris-virginica
2.3;3.2;Iris-virginica
2;2.8;Iris-virginica
2;2.8;Iris-virginica
1.8;2.7;Iris-virginica
2.1;3.3;Iris-virginica
1.8;3.2;Iris-virginica
1.8;2.8;Iris-virginica
1.8;3;Iris-virginica
2.1;2.8;Iris-virginica
1.6;3;Iris-virginica
1.9;2.8;Iris-virginica
2;3.8;Iris-virginica
2.2;2.8;Iris-virginica
1.5;2.8;Iris-virginica
1.4;2.6;Iris-virginica
2.3;3;Iris-virginica
2.4;3.4;Iris-virginica
1.8;3.1;Iris-virginica
1.8;3;Iris-virginica
2.1;3.1;Iris-virginica
2.4;3.1;Iris-virginica
2.3;3.1;Iris-virginica
1.9;2.7;Iris-virginica
2.3;3.2;Iris-virginica
2.5;3.3;Iris-virginica
2.3;3;Iris-virginica
1.9;2.5;Iris-virginica
2;3;Iris-virginica
2.3;3.4;Iris-virginica
1.8;3;Iris-virginica
